,ID,Arrival Date,Arrival Time,Queue Length,In Service
0,1,2024-11-01 09:05:10.095456,5.168257593775184,0,0
1,2,2024-11-01 09:10:25.419467,10.4236577886365,0,1
2,3,2024-11-01 09:16:02.234118,16.037235304657777,0,2
3,4,2024-11-01 09:21:41.210370,21.686839500252496,0,3
4,5,2024-11-01 09:25:17.613774,25.293562898728776,0,4
5,6,2024-11-01 09:30:44.964456,30.749407598751937,0,5
6,7,2024-11-01 09:36:39.237068,36.65395112715171,0,4
7,8,2024-11-01 09:42:21.780027,42.36300045077264,0,4
8,9,2024-11-01 09:47:31.614205,47.52690341872572,0,4
9,10,2024-11-01 09:51:50.048945,51.834149083622414,0,5
10,11,2024-11-01 09:59:11.166671,59.18611118347667,0,5
11,12,2024-11-01 10:03:46.757932,63.779298861324065,1,5
12,13,2024-11-01 10:07:50.353885,67.83923141633991,2,5
13,14,2024-11-01 10:10:30.666718,70.51111196972793,2,5
14,15,2024-11-01 10:14:11.924280,74.19873800620886,3,5
15,16,2024-11-01 10:19:18.786590,79.31310983006574,2,5
16,17,2024-11-01 10:24:46.955618,84.78259363609737,3,5
17,18,2024-11-01 10:30:27.486230,90.45810383714627,3,5
18,19,2024-11-01 10:35:04.046683,95.06744471574457,3,5
19,20,2024-11-01 10:41:28.277023,101.47128371744535,2,5
20,21,2024-11-01 10:47:17.539465,107.29232440880622,3,5
21,22,2024-11-01 10:53:18.866457,113.31444094755673,3,5
22,23,2024-11-01 10:58:58.443899,118.97406498546138,2,5
23,24,2024-11-01 11:01:58.167612,121.96946020085426,3,5
24,25,2024-11-01 11:06:17.174715,126.28624524845057,3,5
25,26,2024-11-01 11:11:31.643641,131.52739401753544,3,5
26,27,2024-11-01 11:13:31.643641,133.52739401753544,4,5
27,28,2024-11-01 11:19:35.769165,139.59615275124708,3,5
28,29,2024-11-01 11:24:40.232367,144.67053945625966,2,5
29,30,2024-11-01 11:27:35.972842,147.5995473736167,3,5
30,31,2024-11-01 11:33:13.117947,153.21863244250744,3,5
31,32,2024-11-01 11:37:50.863531,157.84772552188633,4,5
32,33,2024-11-01 11:41:14.408083,161.24013472294075,4,5
33,34,2024-11-01 11:47:25.725864,167.42876440447424,3,5
34,35,2024-11-01 11:51:41.957179,171.69928631575692,4,5
35,36,2024-11-01 11:56:10.364807,176.1727467809202,4,5
36,37,2024-11-01 12:00:46.821321,180.780355350511,5,5
37,38,2024-11-01 12:05:49.817976,185.83029959758932,5,5
38,39,2024-11-01 12:11:19.377322,191.32295536434523,4,5
39,40,2024-11-01 12:15:51.939919,195.8656653226152,4,5
40,41,2024-11-01 12:19:43.891476,199.731524604778,4,5
41,42,2024-11-01 12:24:03.802679,204.063377990606,5,5
42,43,2024-11-01 12:27:47.778432,207.79630720100033,5,5
43,44,2024-11-01 12:31:06.153960,211.10256599826235,5,5
44,45,2024-11-01 12:34:09.853368,214.16422279401186,5,5
