,상품명,상품코드,Deposit_Code,금리연동형,스윙서비스,역스윙서비스,우대서비스,일반정기예금,스마트폰뱅킹
0,하나플러스+보통예금,A23-00001,A23-000011,0.0,0.0,0.0,0.0,0.0,0.0
1,보통예금,081-00059,081-000591,0.0,0.0,0.0,0.0,0.0,0.0
2,증권저축계좌(제휴증권사 국내해외주식),081-00060,081-000601,0.0,0.0,0.0,0.0,0.0,0.0
3,하나 행복지킴이 통장,081-00062,081-000621,0.0,0.0,0.0,0.0,0.0,0.0
4,하나 보증서담보대출 입금전용계좌,081-00064,081-000641,0.0,0.0,0.0,0.0,0.0,0.0
5,당좌예금,081-00065,081-000651,0.0,0.0,0.0,0.0,0.0,0.0
6,하나의 정기예금,081-00004,081-000042,0.0,0.0,0.0,0.0,0.0,0.0
7,3·6·9 정기예금,081-00001,081-000011,0.1544409554378792,0.0,0.0,0.0,0.0,0.0
8,하이(HIGH)하나보통예금,A23-00002,A23-000021,0.0,0.0,0.0,0.0,0.0,0.0
9,3·6·9 정기예금,081-00001,081-000012,0.1544409554378792,0.0,0.0,0.0,0.0,0.0
10,3·6·9 정기예금,081-00001,081-000013,0.1544409554378792,0.0,0.0,0.0,0.0,0.0
11,하나의 정기예금,081-00004,081-000041,0.0,0.0,0.0,0.0,0.0,0.0
12,하나의 정기예금,081-00004,081-000043,0.0,0.0,0.0,0.0,0.0,0.0
13,하나의 정기예금,081-00004,081-000044,0.0,0.0,0.0,0.0,0.0,0.0
14,하나의 정기예금,081-00004,081-000045,0.0,0.0,0.0,0.0,0.0,0.0
15,하나의 정기예금,081-00004,081-000046,0.0,0.0,0.0,0.0,0.0,0.0
16,하나의 정기예금,081-00004,081-000047,0.0,0.0,0.0,0.0,0.0,0.0
17,하나의 정기예금,081-00004,081-000048,0.0,0.0,0.0,0.0,0.0,0.0
18,하나의 정기예금,081-00004,081-000049,0.0,0.0,0.0,0.0,0.0,0.0
19,양도성예금증서(CD),081-00007,081-000071,0.0,0.0,0.0,0.0,0.0,0.0
20,정기예금,081-00006,081-000061,0.0,0.0,0.0,0.0,0.0,0.0
21,정기예금,081-00006,081-000062,0.0,0.0,0.0,0.0,0.0,0.0
22,정기예금,081-00006,081-000063,0.0,0.0,0.0,0.0,0.0,0.0
23,정기예금,081-00006,081-000064,0.0,0.0,0.0,0.0,0.0,0.0
24,정기예금,081-00006,081-000065,0.0,0.0,0.0,0.0,0.0,0.0
25,정기예금,081-00006,081-000066,0.0,0.0,0.0,0.0,0.0,0.0
26,정기예금,081-00006,081-000067,0.0,0.0,0.0,0.0,0.0,0.0
27,정기예금,081-00006,081-000068,0.0,0.0,0.0,0.0,0.0,0.0
28,양도성예금증서(CD),081-00007,081-000072,0.0,0.0,0.0,0.0,0.0,0.0
29,양도성예금증서(CD),081-00007,081-000073,0.0,0.0,0.0,0.0,0.0,0.0
30,양도성예금증서(CD),081-00007,081-000074,0.0,0.0,0.0,0.0,0.0,0.0
31,양도성예금증서(CD),081-00007,081-000075,0.0,0.0,0.0,0.0,0.0,0.0
32,양도성예금증서(CD),081-00007,081-000076,0.0,0.0,0.0,0.0,0.0,0.0
33,양도성예금증서(CD),081-00007,081-000077,0.0,0.0,0.0,0.0,0.0,0.0
34,표지어음,081-00008,081-000081,0.0,0.0,0.0,0.0,0.0,0.0
35,표지어음,081-00008,081-000082,0.0,0.0,0.0,0.0,0.0,0.0
36,표지어음,081-00008,081-000084,0.0,0.0,0.0,0.0,0.0,0.0
37,1년 연동형 정기예금,081-00009,081-000091,0.0,0.0,0.0,0.0,0.1974556260405088,0.0
38,1년 연동형 정기예금,081-00009,081-000092,0.0,0.0,0.0,0.0,0.1974556260405088,0.0
39,펫사랑적금,081-00012,081-000121,0.0,0.0,0.0,0.0,0.0,0.0
40,(내맘)적금,081-00014,081-000141,0.0,0.0,0.0,0.0,0.0,0.0
41,(내맘)적금,081-00014,081-000142,0.0,0.0,0.0,0.0,0.0,0.0
42,(내맘)적금,081-00014,081-000143,0.0,0.0,0.0,0.0,0.0,0.0
43,(내맘)적금,081-00014,081-000144,0.0,0.0,0.0,0.0,0.0,0.0
44,(내맘)적금,081-00014,081-000145,0.0,0.0,0.0,0.0,0.0,0.0
45,(내맘)적금,081-00014,081-000146,0.0,0.0,0.0,0.0,0.0,0.0
46,(내맘)적금,081-00014,081-000148,0.0,0.0,0.0,0.0,0.0,0.0
47,(내맘)적금,081-00014,081-000149,0.0,0.0,0.0,0.0,0.0,0.0
48,(내맘)적금,081-00014,081-0001410,0.0,0.0,0.0,0.0,0.0,0.0
49,연금하나월복리적금,081-00015,081-000151,0.0,0.0,0.0,0.0,0.0,0.0
50,하나 군인연금 평생안심통장,081-00045,081-000451,0.0,0.0,0.0,0.0,0.0,0.0
51,연금하나월복리적금,081-00015,081-000152,0.0,0.0,0.0,0.0,0.0,0.0
52,연금하나월복리적금,081-00015,081-000153,0.0,0.0,0.0,0.0,0.0,0.0
53,주거래하나월복리적금,081-00016,081-000161,0.0,0.0,0.0,0.0,0.0,0.0
54,주거래하나월복리적금,081-00016,081-000162,0.0,0.0,0.0,0.0,0.0,0.0
55,주거래하나월복리적금,081-00016,081-000163,0.0,0.0,0.0,0.0,0.0,0.0
56,(아이)꿈하나적금,081-00017,081-000171,0.0,0.0,0.0,0.0,0.0,0.0
57,내집마련더블업(Double-Up)적금,081-00018,081-000181,0.0,0.0,0.0,0.0,0.0,0.0
58,내집마련더블업(Double-Up)적금,081-00018,081-000182,0.0,0.0,0.0,0.0,0.0,0.0
